479.231;243.809
479.776;244.286
480.843;244.866
481.43;244.686
481.864;243.502
482.471;242.085
483.052;241.292
483.852;240.679
484.735;241.145
489.397;249.835
492.956;253.6
494.559;257.098
495.315;260.249
496.927;260.714
499.463;262.374
500.358;262.437
501.897;264.033
501.084;266.509
500.401;268.221
498.592;269.734
498.58;269.988
499.103;270.146
499.347;270.157
499.493;270.508
499.441;270.866
499.047;271.563
497.462;272.113
496.197;271.849
489.145;269.85
485.355;268.645
484.602;266.795
484.08;266.953
483.361;267.279
481.722;268.05
481.626;268.146
481.595;268.316
481.826;271.541
479.822;271.394
476.879;268.508
474.981;269.459
473.992;268.157
470.625;267.438
469.437;267.522
469.227;267.577
467.652;268.169
465.43;269.565
465.346;270.211
465.89;270.328
465.241;270.391
463.268;270.264
461.205;268.974
460.973;268.784
460.803;268.013
461.797;267.474
462.3;266.967
462.904;265.919
462.502;265.222
462.048;264.694
462.048;263.173
462.331;262.623
462.786;261.946
463.205;261.638
465.452;258.709
463.87;257.588
462.248;257.904
462.194;257.292
462.617;251.139
462.66;250.738
464.331;249.618
464.85;249.471
465.348;249.756
466.591;250.295
467.092;250.391
468.187;250.475
468.25;250.095
468.229;249.957
468.125;249.809
467.761;249.523
467.242;248.921
467.104;248.613
467.135;248.509
468.261;246.278
473.861;246.109
475.007;246.341
475.914;246.394
476.64;246.415
477.074;246.277
477.461;246.066
477.927;245.708
478.588;244.851
